DateTime,Avrist Ada Kas Mutiara,Batavia Dana Kas Maxima,Batavia Dana Obligasi Ultima,BATAVIA DANA SAHAM,BATAVIA DANA SAHAM SYARIAH,BNI-AM DANA LANCAR SYARIAH,BNI-AM DANA LIKUID,REKSA DANA BNI-AM DANA PENDAPATAN TETAP MAKARA INVESTASI,BNI-AM DANA PENDAPATAN TETAP SYARIAH ARDHANI,BNI-AM Dana Saham Inspiring Equity Fund,BNI-AM Indeks IDX30,Avrist Ada Saham Blue Safir,ITB Harmoni BNI-AM,BNI-AM Mahogany,SYARIAH BNP PARIBAS CAKRA SYARIAH USD KELAS RK1,BNP PARIBAS EKUITAS,BNP Paribas Greater China Equity Syariah USD Kelas RK1,BNP PARIBAS INFRASTRUKTUR PLUS,BNP Paribas Omega,BNP PARIBAS PESONA,BNP Paribas Pesona Syariah,Reksa Dana BNP Paribas Prima II Kelas RK1,AVRIST BALANCED AMAR SYARIAH,BNP PARIBAS PRIMA USD,BNP PARIBAS RUPIAH PLUS,BNP PARIBAS SOLARIS,BNP Paribas Sri Kehati,DANAMAS RUPIAH PLUS,DANAMAS STABIL,DANAREKSA INDEKS SYARIAH,DANAREKSA MAWAR KONSUMER 10 KELAS A,Danareksa Melati Pendapatan Utama,DANAREKSA SERUNI PASAR UANG II,Avrist IDX30,DANAREKSA SERUNI PASAR UANG III,Reksa Dana Eastspring IDR Fixed Income Fund Kelas A,Reksa Dana Eastspring Investments Cash Reserve Kelas A,EASTSPRING INVESTMENTS VALUE DISCOVERY KELAS A,EASTSPRING INVESTMENTS YIELD DISCOVERY KELAS A,Eastspring Syariah Fixed Income Amanah Kelas A,Eastspring Syariah Greater China Equity USD Kelas A,Jarvis Balanced Fund,Jarvis Money Market Fund,MAJORIS OBLIGASI UTAMA INDONESIA,AVRIST PRIME BOND FUND,Majoris Pasar Uang Syariah Indonesia,MAJORIS SAHAM ALOKASI DINAMIK INDONESIA,Majoris Sukuk Negara Indonesia,MAKARA PRIMA,Mandiri Indeks FTSE Indonesia ESG Kelas A,MANDIRI INVESTA ATRAKTIF-SYARIAH,MANDIRI INVESTA DANA SYARIAH,Mandiri Investa Syariah Berimbang,Mandiri Investasi Obligasi Nasional,Mandiri Pasar Uang Syariah Ekstra,BAHANA DANA LIKUID,Manulife Dana Kas II Kelas A,Manulife Dana Kas Syariah,REKSA DANA MANULIFE DANA SAHAM KELAS A,MANULIFE OBLIGASI NEGARA INDONESIA II KELAS A,MANULIFE OBLIGASI UNGGULAN KELAS A,MANULIFE SAHAM ANDALAN,Reksa Dana Manulife Syariah Sektoral Amanah Kelas A,MANULIFE USD FIXED INCOME KELAS A,PRINCIPAL CASH FUND,Principal Index IDX30 Kelas O,Bahana Likuid Syariah Kelas G,PRINCIPAL ISLAMIC EQUITY GROWTH SYARIAH,PRINCIPAL TOTAL RETURN BOND FUND,SCHRODER 90 PLUS EQUITY FUND,SCHRODER DANA ISTIMEWA,Schroder dana Likuid,Schroder Dana Likuid Syariah,SCHRODER DANA MANTAP PLUS II,SCHRODER DYNAMIC BALANCED FUND,SYARIAH SCHRODER GLOBAL SHARIA EQUITY FUND (USD),SCHRODER SYARIAH BALANCED FUND,REKSA DANA SYARIAH BAHANA MES SYARIAH FUND KELAS G,SCHRODER USD BOND FUND,SIMAS SAHAM UNGGULAN,Simas Satu,SIMAS SYARIAH UNGGULAN,REKSA DANA SUCORINVEST BOND FUND,SUCORINVEST EQUITY FUND,SUCORINVEST FLEXI FUND,SUCORINVEST MAXI FUND,SUCORINVEST MONEY MARKET FUND,SUCORINVEST SHARIA EQUITY FUND,Bahana Primavera 99 Kelas G,Sucorinvest Sharia Money Market Fund,Sucorinvest Sharia Sukuk Fund,Sucorinvest Stable Fund,TRAM CONSUMPTION PLUS KELAS A,TRAM INFRASTRUCTURE PLUS,TRAM STRATEGIC PLUS,TRIM Dana Tetap 2,TRIM Kapital,TRIM KAPITAL PLUS,ABF INDONESIA BOND INDEX FUND
2021-01-10,1247.3,1569.46,2895.29,60371.875,1885.4,1544.065,1653.91,1220.7064,1419.6,1064.3614,900.31,1015.2,1265.89115,911.8,1.5599500000000002,18175.225,1.0586,3028.3450000000003,1633.455,26132.735,2558.0950000000003,2718.8450000000003,1088.925,1.3528,2253.735,2569.0950000000003,984.23,1487.4631,3866.445,2763.13,1727.3534,1690.3822,1560.59395,936.435,1500.6449,1520.88,1515.615,1310.095,1649.225,1308.32,1.27043,1313.62,1104.02,1441.8915,1594.13,1160.5125,1064.5438,1253.0385,2926.65355,,1115.785,3812.905,3463.435,1100.91,1085.91985,1630.495,1568.28,1133.315,11675.895,2616.67,3040.3,2131.95,3795.38,1.2321,1615.44,1364.79,1037.75,1371.33,2622.755,1982.67,7215.585,1455.4499999999998,1037.4241,2979.875,1606.705,1.48825,2582.415,1353.84,1.705,1346.5932,7768.5307,750.15765,1504.3249999999998,2389.21,5123.174999999999,1745.28,1535.86,1992.46,1257.22,1170.96,,1077.45,1798.475,1252.32,1782.345,2645.8566,9829.44955,3465.09225,45082.1657
2021-01-17,1248.51,1570.66,2887.51,61726.57,1912.19,1544.82,1655.18,1213.9486,1413.58,1072.2311,907.22,1041.03,1254.105,929.42,1.5397,18499.91,1.0859,3093.37,1625.68,26668.61,2579.36,2706.62,1095.79,1.3515,2254.52,2685.53,997.4,1489.2385,3871.5313,2795.62,1791.167,1677.8594,1561.6737,955.4,1501.8109,1510.73,1516.49,1366.49,1644.67,1303.64,1.26659,1389.77,1104.78,1422.2499,1582.88,1161.196,1082.2392,1245.162,2898.1934,,1128.42,3809.03,3457.19,1103.08,1086.6593,1631.91,1569.49,1133.94,11946.49,2599.97,3027.13,2198.91,3875.87,1.2318,1616.88,1392.93,1038.55,1378.55,2611.82,2008.93,7409.27,1455.87,1037.9415,2957.1,1625.8,1.4803,2605.51,1348.38,1.7058,1373.7139,7929.1769,760.258,1494.46,2445.26,5145.0,1745.15,1537.51,2042.42,1260.6,1172.18,,1079.49,1843.16,1302.51,1763.49,2635.3245,10196.4889,3574.0928,44796.8669
2021-01-24,1249.47,1571.6999999999998,2882.86,62205.385,1880.9,1545.815,1656.0100000000002,1212.9603,1410.84,1069.6713,912.37,1046.045,1248.6131,933.91,1.5677,18579.115,1.1361,3094.92,1621.59,26598.39,2532.6800000000003,2699.51,1088.475,1.3527,2255.325,2555.8450000000003,1016.84,1490.775,3875.8946,2762.86,1762.8782,1669.71945,1562.59215,969.155,1502.80605,1506.62,1517.245,1374.14,1630.215,1302.25,1.35486,1395.275,1105.475,1415.61695,1577.725,1161.62325,1070.33895,1242.6505000000002,2881.48495,,1098.16,3807.81,3451.91,1102.71,1087.33365,1633.145,1570.51,1134.56,11962.945,2590.7200000000003,3024.105,2183.745,3786.245,1.23345,1617.89,1410.33,1039.39,1347.67,2614.505,2016.575,7293.559999999999,1456.29,1038.4758,2948.415,1629.2199999999998,1.5116,2578.695,1345.86,1.709,1358.49095,7844.4276,736.7783999999999,1487.315,2437.9300000000003,5276.975,1741.17,1538.24,2046.32,1261.4,1172.985,,1081.57,1842.77,1304.335,1753.605,2631.68275,10208.40065,3565.02545,44661.28425
2021-01-31,1250.6,1572.88,2894.44,57235.3,1705.56,1547.97,1657.61,1217.3251,1414.25,989.897,833.24,954.14,1254.4723,855.48,1.5274,17023.8,1.0984,2826.15,1629.34,24510.8,2338.01,2710.95,1038.02,1.3521,2256.06,2289.68,928.13,1492.5533,3880.9029,2521.15,1559.4796,1676.4569,1563.6627,879.54,1504.1368,1513.77,1518.12,1265.05,1635.02,1305.4,1.286334,1340.82,1106.3,1421.864,1584.88,1163.5157,973.2626,1245.7562,2896.0384,,981.05,3815.39,3438.15,1106.58,1088.1238,1634.59,1571.81,1135.36,10988.78,2597.54,3040.35,2016.3,3476.74,1.2332,1619.78,1275.15,1040.26,1237.34,2621.61,1862.79,6732.74,1457.35,1039.065,2968.05,1532.47,1.4683,2441.83,1349.51,1.7082,1251.07,7372.8355,666.3252,1488.54,2215.22,5126.08,1617.16,1539.63,1874.98,1159.79,1174.0,,1083.6,1693.75,1200.61,1762.92,2645.0766,9463.9615,3296.7195,44892.0145
2021-02-07,1251.54,1573.92,2905.6800000000003,59675.505,1783.45,1549.0749999999998,1659.17,1222.2845,1419.31,1028.2307,868.95,993.195,1263.31065,889.125,1.56485,17698.045,1.1266,2953.535,1637.285,25552.275,2439.09,2723.385,1073.185,1.3498,2256.86,2402.375,963.99,1494.09875,3885.2702,2672.21,1632.2335,1685.9074,1564.5141,915.87,1505.34475,1521.985,1518.87,1323.22,1639.385,1309.365,1.347931,1389.0749999999998,1106.975,1431.0823,1594.505,1164.45425,1020.97495,1249.37095,2918.5055,,1030.37,3829.635,3456.15,1104.6,1088.6958,1635.74,1572.945,1135.8,11467.46,2609.89,3060.54,2107.425,3659.35,1.2323499999999998,1621.5749999999998,1321.915,1041.13,1301.925,2627.55,1919.405,7005.545,1458.35,1039.6199,2986.92,1571.395,1.5065,2499.995,1354.085,1.7067,1304.31885,7558.095600000001,697.787,1493.395,2325.455,5304.535,1686.77,1541.21,1933.04,1208.51,1175.065,,1085.61,1768.905,1253.0749999999998,1775.77,2659.31205,9853.627100000002,3447.8695,45127.17605
2021-02-14,1252.405,1574.845,2903.2200000000003,60022.29,1793.58,1549.92,1659.745,1217.2329,1417.14,1024.7193,867.21,993.97,1260.6751,892.77,1.57615,17757.165,1.1409,2957.63,1632.085,25665.34,2452.285,2717.17,1072.64,1.35115,2257.5550000000003,2485.4700000000003,963.44,1495.52165,3889.28835,2672.525,1654.90335,1679.992,1565.3514,915.485,1506.36855,1519.25,1519.515,1332.025,1636.665,1307.145,1.398348,1422.395,1107.605,1426.57615,1589.865,1164.69975,1025.8485500000002,1247.9281,2906.8897500000003,,1032.755,3824.225,3451.465,1102.29,1089.31655,1636.81,1573.845,1136.34,11509.735,2603.46,3059.39,2139.52,3699.39,1.23345,1622.33,1321.345,1041.71,1309.2800000000002,2624.3,1930.13,7159.525,1458.65,1039.7755,2978.205,1589.015,1.52495,2520.92,1349.495,1.70855,1320.1862,7585.8777,693.5097499999999,1485.49,2311.7200000000003,5351.22,1726.3249999999998,1542.54,1948.55,1201.56,1175.9499999999998,,1087.33,1779.56,1263.935,1771.635,2655.4486,9925.26695,3468.94605,45034.64605
2021-02-21,1253.8,1576.075,2887.55,59572.845,1775.485,1551.37,1661.7,1217.6004,1410.755,1019.9145,864.88,987.215,1245.31105,886.475,1.56735,17605.405,1.1457,2926.88,1613.88,25497.83,2432.19,2686.0,1062.31,1.3434,2258.4700000000003,2496.155,952.83,1497.408,3894.6023,2625.105,1638.7487,1650.6422,1566.5838,907.895,1507.97965,1505.355,1520.425,1334.42,1628.145,1302.08,1.385883,1489.48,1108.46,1406.4545,1572.325,1165.2869500000002,1016.59755,1239.92225,2862.30335,,1023.005,3825.26,3454.02,1090.21,1090.112,1638.17,1574.945,1137.185,11408.055,2578.935,3051.81,2157.19,3655.565,1.23075,1624.3249999999998,1310.415,1042.69,1286.64,2624.715,1927.555,7141.530000000001,1459.4499999999998,1040.3063,2940.625,1576.775,1.5257999999999998,2508.8,1345.165,1.69875,1328.3175,7520.9941,682.6525,1483.6149999999998,2360.105,5423.215,1766.9299999999998,1544.58,2005.065,1193.63,1177.4499999999998,,1089.51,1772.965,1263.5749999999998,1746.37,2640.66405,9947.20365,3487.4404,44628.4176
2021-02-28,1254.82,1577.23,2870.23,59330.65,1789.02,1552.6,1662.96,1215.9604,1401.16,1007.6268,860.67,985.76,1226.7711,885.93,1.5271,17530.74,1.103,2910.06,1599.43,25421.03,2449.26,2660.57,1065.99,1.32,2259.14,2449.06,946.22,1499.1027,3899.3516,2639.41,1627.5705,1625.8501,1567.5615,908.87,1509.2803,1489.16,1521.25,1339.95,1619.04,1298.74,1.267586,1522.63,1109.25,1381.2193,1558.11,1165.8322,1014.8333,1234.1641,2819.6144,,1026.19,3814.17,3451.21,1067.71,1090.8176,1639.4,1576.28,1138.03,11385.72,2548.02,3040.72,2174.29,3656.71,1.2211,1626.12,1311.81,1043.47,1293.08,2619.58,1938.63,7190.46,1459.81,1040.3405,2902.73,1575.71,1.4777,2532.56,1336.99,1.6785,1317.0319,7456.0461,682.1947,1476.0,2317.88,5403.44,1727.07,1546.6,1977.46,1184.74,1178.89,,1091.73,1772.47,1252.27,1717.56,2627.8125,9888.052,3511.3591,44138.6991
2021-03-07,1255.78,1578.22,2875.175,59116.065,1750.02,1553.81,1664.265,1218.7725,1400.735,1007.8536,858.8,984.95,1228.0771,879.985,1.5161,17461.300000000003,1.0824,2907.625,1602.92,25265.24,2405.46,2666.56,1051.625,1.32005,2259.9,2351.705,950.63,1500.5736000000002,3903.5307,2565.855,1605.0208,1625.1931,1568.74795,910.035,1510.5358500000002,1491.305,1521.95,1321.675,1622.65,1299.82,1.247792,1577.055,1109.935,1381.0005,1559.6999999999998,1167.83595,1009.635,1238.04695,2820.89225,,1005.27,3824.77,3450.53,1076.725,1091.88725,1640.67,1577.44,1138.815,11282.34,2547.08,3047.77,2116.86,3576.42,1.22205,1627.685,1312.87,1044.23,1267.4050000000002,2623.705,1938.49,7057.754999999999,1460.535,1040.9369,2913.7250000000004,1573.435,1.46315,2492.035,1338.065,1.6810999999999998,1322.43125,7422.16185,660.5355500000001,1475.705,2336.5550000000003,5438.91,1726.485,1548.14,1994.345,1181.53,1179.76,,1094.19,1764.02,1237.22,1718.505,2636.28575,9781.2439,3483.54995,44192.15565
2021-03-14,1256.79,1579.25,2857.68,59691.15,1767.45,1555.1,1665.68,1210.672,1392.62,1025.2201,864.99,993.58,1216.0347,898.34,1.5499,17617.13,1.0805,2929.39,1597.23,25461.33,2435.83,2647.95,1061.69,1.3121,2260.77,2374.37,948.63,1502.2705,3908.3523,2607.64,1615.6051,1608.5361,1569.7535,913.3,1511.7457,1478.75,1522.69,1350.65,1617.38,1293.97,1.243852,1659.18,1110.7,1366.6963,1547.5,1168.7979,1010.8869,1229.3892,2797.4801,,1023.26,3815.05,3449.0,1071.3,1092.6108,1641.84,1578.69,1139.52,11381.41,2525.41,3038.06,2143.03,3644.82,1.2168,1629.24,1317.64,1044.87,1287.54,2618.78,1941.67,7115.92,1461.28,1041.0854,2892.94,1578.66,1.4961,2498.19,1330.83,1.6743,1352.211,7520.1799,663.2483,1473.34,2335.12,5427.87,1745.11,1549.83,2020.22,1190.23,1180.6,,1096.13,1790.63,1251.78,1696.66,2630.0694,9911.1503,3588.443,43827.6885
2021-03-21,1257.795,1580.155,2860.115,59945.96000000001,1773.675,1555.89,1666.7,1212.0604,1392.54,1031.8936,871.03,998.46,1215.7579,892.605,1.5462,17657.684999999998,1.0878,2951.175,1592.0300000000002,25517.925000000003,2436.51,2643.24,1062.0700000000002,1.31195,2261.4700000000003,2345.53,956.87,1503.743,3912.52335,2607.3050000000003,1615.5031,1608.94035,1570.5812,919.215,1512.78725,1479.05,1523.29,1335.715,1614.93,1294.015,1.218264,1623.41,1111.34,1368.16625,1545.9499999999998,1168.9682,1017.323,1229.48445,2797.5449,,1020.795,3818.35,3449.41,1074.64,1093.25535,1642.825,1579.655,1140.215,11375.509999999998,2524.67,2972.24,2140.92,3641.2,1.2165,1630.3249999999998,1326.23,1045.59,1286.4299999999998,2616.935,1939.435,7028.075,1461.5700000000002,1041.1808,2891.605,1577.97,1.4962,2490.66,1330.645,1.67325,1365.205,7530.8795,658.97355,1470.53,2354.625,5436.78,1728.08,1551.475,2014.52,1198.28,1181.475,,1097.98,1792.09,1252.76,1699.045,2631.54415,9893.3791,3560.29685,43834.1443
2021-03-28,1258.74,1581.19,2873.87,58967.01,1762.34,1557.82,1668.4,1217.3188,1396.38,1011.1373,856.39,980.68,1222.7149,873.44,1.5613,17344.04,1.0644,2898.77,1603.8,25083.17,2409.71,2660.52,1058.36,1.3183,2262.37,2284.94,939.07,1505.4426,3917.3495,2584.04,1578.0116,1619.377,1571.5255,904.38,1514.0684,1487.97,1524.06,1303.93,1622.25,1297.99,1.181017,1593.79,1112.09,1375.3524,1555.45,1170.1193,994.5616,1234.1346,2819.8492,,1008.19,3825.9,3454.64,1083.71,1093.9675,1643.99,1580.74,1140.92,11157.23,2532.66,2984.23,2091.02,3595.83,1.2192,1632.08,1304.77,1046.29,1270.26,2624.99,1906.38,6890.47,1462.55,1041.8847,2909.62,1555.27,1.5072,2485.63,1334.04,1.6757,1334.2557,7370.5734,649.6511,1467.05,2294.01,5412.5,1713.22,1553.44,1977.37,1177.68,1182.63,,1099.95,1756.64,1227.05,1710.01,2645.0144,9702.2149,3480.7989,44088.8201
2021-04-04,1259.51,1582.02,2877.87,57199.97,1737.31,1558.65,1668.92,1219.4705,1397.6,975.7093,821.86,945.54,1224.7099,843.26,1.573,16743.19,1.0681,2787.95,1606.51,24246.75,2346.76,2662.89,1047.52,1.3157,2262.72,2165.87,900.78,1506.8021,3921.2134,2530.7,1515.1329,1620.4647,1573.8861,868.0,1516.1427,1489.76,1524.59,1260.22,1624.06,1298.27,1.218479,1560.61,1112.64,1377.964,1558.29,1170.2249,955.8297,1235.0972,2821.8682,,981.81,3823.27,3446.48,1086.05,1094.3856,1644.79,1581.63,1141.43,10717.51,2536.94,2988.04,2020.35,3511.18,1.2179,1632.92,1251.74,1046.96,1243.83,2629.55,1841.12,6685.53,1462.76,1042.273,2853.36,1507.37,1.5135,2445.08,1334.48,1.6725,1290.883,7145.1669,631.9349,1468.14,2234.07,5362.84,1659.87,1554.71,1920.09,1136.57,1183.31,,1101.54,1703.62,1179.77,1713.37,2647.4247,9372.1829,3368.8775,44158.1903
2021-04-11,1260.5,1583.1,2890.81,57847.45,1730.55,1560.05,1670.63,1224.4793,1409.88,987.2537,830.55,956.0,1243.0673,855.91,1.6091,16934.69,1.0683,2814.0,1624.91,24499.25,2351.34,2699.26,1046.67,1.3229,2263.67,2185.49,912.33,1508.6053,3926.3646,2517.64,1533.3238,1648.7754,1575.0992,877.12,1517.5429,1507.82,1525.31,1273.98,1634.22,1307.6,1.206802,1593.68,1113.39,1398.5268,1578.85,1171.1088,969.3913,1246.555,2857.2858,,984.94,3840.55,3459.08,1098.95,1095.1604,1645.87,1582.9,1142.33,10812.45,2575.39,3005.28,2071.28,3516.62,1.2208,1634.5,1264.91,1047.7,1245.7,2639.38,1877.43,6839.8,1463.86,1043.608,2892.02,1530.77,1.5455,2456.73,1346.25,1.6777,1307.8859,7210.9099,628.5478,1474.22,2284.56,5473.88,1689.43,1556.45,1947.31,1147.38,1184.23,,1103.58,1728.42,1202.83,1744.73,2669.0597,9565.5378,3456.0076,44707.4763
2021-04-18,1261.3200000000002,1583.955,2885.165,58424.77,1742.6950000000002,1560.94,1671.85,1219.5577,1405.915,991.8026,832.87,957.395,1236.2573,871.61,1.6226,16941.765,1.088,2807.68,1617.19,24701.265,2351.9350000000004,2686.7250000000004,1042.155,1.32675,2264.305,2169.3,908.435,1510.0576999999998,3930.56075,2498.855,1536.5873,1640.32895,1575.86,879.89,1518.5238,1501.1799999999998,1525.845,1296.025,1625.54,1304.4450000000002,1.232989,1691.355,1114.015,1390.3719999999998,1570.495,1171.70705,957.0835,1242.44225,2837.8991,,978.84,3837.815,3451.8450000000003,1101.9,1095.74655,1646.77,1583.815,1142.86,10830.495,2565.875,3000.8,2101.945,3509.08,1.22275,1635.52,1268.33,1048.28,1244.245,2636.185,1876.065,6833.355,1464.405,1044.1991,2874.525,1524.655,1.5606,2451.765,1341.54,1.68135,1308.95285,7193.2587,624.7069,1470.98,2244.335,5476.75,1662.085,1558.035,1916.37,1141.3,1185.0500000000002,,1105.47,1749.045,1211.81,1733.02,2663.3783000000003,9662.50535,3562.34575,44507.172
